,variables,mse,mae
21,"baseline+script,script_lr",0.0113359189255702,0.0360891356542617
14,"baseline+family,script,script_lr",0.0113422787755102,0.0351822328931572
11,"baseline+family,script",0.0114968220768307,0.0353393757503001
31,"baseline+family,script,script_lr,training_script_lr",0.0115083737515006,0.0352479591836734
27,"baseline+script,script_lr,training_script_lr",0.0115125968187274,0.0362929171668667
29,baseline+script,0.0115773839135654,0.0363457382953181
12,"baseline+script,training_script_lr",0.0116120868487395,0.0363988595438175
28,"baseline+emb_cos_sim,family,script,script_lr",0.0116294629711884,0.0370473589435774
18,"baseline+family,script,training_script_lr",0.0116425678931572,0.0354408763505402
1,"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.0116948709183673,0.0371623649459784
13,"baseline+emb_cos_sim,family,script",0.0117386069687875,0.0373572028811524
17,"baseline+family,script_lr",0.0117541032713085,0.0360300720288115
24,"baseline+script_lr,training_script_lr",0.0118759081932773,0.0368864945978391
6,"baseline+emb_cos_sim,family,script_lr",0.0118822643637454,0.0373521608643457
23,baseline+script_lr,0.011947896302521,0.0370696278511404
22,"baseline+family,script_lr,training_script_lr",0.0119533459243697,0.0362465186074429
7,"baseline+emb_cos_sim,family,script,training_script_lr",0.0119793723109243,0.0375546818727491
5,"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0120088504621848,0.0375454381752701
16,"baseline+family,training_script_lr",0.0121532480492196,0.036444237695078
8,baseline+family,0.0121563592196878,0.0366195678271308
10,"baseline+emb_cos_sim,family,training_script_lr",0.0121763029411764,0.0375846338535414
3,"baseline+emb_cos_sim,script,script_lr",0.0121928038235294,0.0382537214885954
0,"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0122012585474189,0.0382710684273709
30,"baseline+emb_cos_sim,family",0.0122128896278511,0.0378271308523409
15,baseline+training_script_lr,0.0123008871308523,0.0374229291716686
9,"baseline+emb_cos_sim,script",0.0123638989735894,0.0386024609843937
20,baseline+,0.0124357282172869,0.0376531212484994
2,"baseline+emb_cos_sim,script_lr",0.0125032490216086,0.0385868547418967
4,"baseline+emb_cos_sim,script,training_script_lr",0.0125167121968787,0.0386713085234093
25,"baseline+emb_cos_sim,script_lr,training_script_lr",0.0127659403121248,0.0389058823529411
26,"baseline+emb_cos_sim,training_script_lr",0.0130497267046818,0.0393501200480192
19,baseline+emb_cos_sim,0.0130508723049219,0.0392294117647058
