lang,mse,mae
eng_Latn,0.022608523333333328,0.1163888888888889
fin_Latn,0.0007782205555555556,0.01630555555555556
deu_Latn,0.0054279583333333385,0.03719999999999998
cmn_Hani,0.009930583611111118,0.06146388888888891
hun_Latn,0.0005669299999999999,0.006094444444444444
tur_Latn,0.0008767155555555566,0.016727777777777786
mon_Cyrl,0.0073936972222222175,0.042599999999999985
kaz_Cyrl,0.0009929955555555549,0.015594444444444445
heb_Hebr,0.005497577222222225,0.03197777777777785
arb_Arab,0.009760276388888886,0.019402777777777776
kor_Hang,0.0006830733333333338,0.008944444444444448
hin_Deva,1.4880000000000013e-05,0.0010000000000000002
other,0.005966239166666663,0.0586194444444444
avg,0.005422897713675213,0.03325534188034188
