lang,mse,mae
eng_Latn,0.01074639051204288,0.056517249214406574
fin_Latn,0.0005406988151226746,0.003997703045685282
deu_Latn,0.004900381928774446,0.021171214043993233
cmn_Hani,0.008952975250363737,0.031090049552816062
hun_Latn,0.00028202810001697764,0.0026061119168479564
tur_Latn,0.0036399676571042964,0.022689621706550624
mon_Cyrl,0.0013498510139798225,0.009559012569494808
kaz_Cyrl,0.002609500655184057,0.01830980058013055
heb_Hebr,0.009773999329714362,0.02088581399564904
arb_Arab,0.0020872346566553866,0.010278502538071058
kor_Hang,7.517385011280317e-05,0.0007139170896785107
hin_Deva,0.0037943555076142108,0.02067842639593908
jpn_Jpan,0.0013437241603285412,0.007743912859560073
urd_Arab,0.004307128870910889,0.02109945854483927
pan_Guru,0.006944264060913706,0.02839746192893401
guj_Gujr,0.008346138705583749,0.02621294416243655
other,0.0036352352797556086,0.03440027102973167
avg,0.004313473432598715,0.019785380657339074
