lang,mse,mae
eng_Latn,0.005450140431472081,0.050296192893401016
fin_Latn,0.0003248289086294415,0.0036652284263959407
deu_Latn,0.004225137487309645,0.01811954314720812
cmn_Hani,0.005962481827411169,0.02717208121827411
hun_Latn,0.00042259776649746194,0.0036563451776649753
tur_Latn,0.008987455279187815,0.03612436548223349
mon_Cyrl,0.0019248727918781728,0.013046700507614214
kaz_Cyrl,0.0046576605076142155,0.02556446700507615
heb_Hebr,0.0022299086548223323,0.009335279187817251
arb_Arab,0.0025771673096446667,0.013821319796954303
kor_Hang,0.00011671388324873095,0.001565736040609137
hin_Deva,0.00674127043147208,0.027886548223350256
jpn_Jpan,0.0013136748984771587,0.008675380710659902
urd_Arab,0.005184893857868023,0.025165482233502543
pan_Guru,0.0072743290862944164,0.030902030456852792
guj_Gujr,0.011641179822335021,0.03478299492385787
other,0.0032975943654822344,0.03449593908629442
avg,0.004254818077037921,0.021427978501045084
