model,training,eval_lang,step,pred_langs,emb_cos_sim
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Labels,"{'deu': 0.82, 'ita': 0.01, 'eng': 0.07, 'por': 0.01, 'spa': 0.01, 'fra': 0.02, 'nld': 0.01, 'pol': 0.01}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Base,"{'deu': 0.87, 'eng': 0.06, 'fra': 0.03, 'spa': 0.01}",0.9173067808151245
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Step1,"{'deu': 0.87, 'eng': 0.06, 'fra': 0.02, 'spa': 0.01}",0.9191709756851196
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Step50+sbeam8,"{'deu': 0.84, 'eng': 0.07, 'fra': 0.03, 'mon': 0.01, 'spa': 0.01}",0.9471467137336731
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Labels,"{'heb': 0.94, 'deu': 0.01, 'spa': 0.01, 'fra': 0.02, 'eng': 0.02}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Base,"{'kaz': 0.65, 'mon': 0.09, 'fra': 0.03, 'rus': 0.04, 'eng': 0.05, 'ukr': 0.02, 'bel': 0.01, 'deu': 0.02, 'aze': 0.01, 'mkd': 0.02, 'bul': 0.01}",0.8937269449234009
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Step1,"{'mon': 0.25, 'deu': 0.02, 'kaz': 0.51, 'fra': 0.03, 'mkd': 0.01, 'rus': 0.04, 'eng': 0.05, 'ukr': 0.02, 'bul': 0.01, 'bel': 0.02}",0.9075583219528198
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Step50+sbeam8,"{'kaz': 0.45, 'deu': 0.01, 'eng': 0.06, 'spa': 0.01, 'mon': 0.31, 'mkd': 0.01, 'fra': 0.03, 'rus': 0.03, 'ukr': 0.02, 'bul': 0.01, 'bel': 0.02}",0.8455482721328735
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Labels,"{'heb': 0.96, 'deu': 0.01, 'eng': 0.01, 'spa': 0.01, 'fra': 0.01}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Base,"{'kor': 0.03, 'ben': 0.04, 'ukr': 0.02, 'ara': 0.01, 'deu': 0.07, 'heb': 0.03, 'bel': 0.01, 'mon': 0.09, 'rus': 0.03, 'eng': 0.17, 'fra': 0.04, 'kaz': 0.21, 'ell': 0.01, 'zho': 0.04, 'yor': 0.01, 'spa': 0.08, 'fin': 0.01, 'por': 0.01, 'bul': 0.01, 'jpn': 0.02, 'swa': 0.01, 'fas': 0.01}",0.8910011053085327
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Step1,"{'kor': 0.03, 'ara': 0.01, 'bel': 0.01, 'kaz': 0.45, 'mon': 0.04, 'ben': 0.03, 'rus': 0.06, 'eng': 0.14, 'deu': 0.05, 'zho': 0.01, 'spa': 0.04, 'bul': 0.01, 'por': 0.01, 'fra': 0.03, 'ukr': 0.02}",0.8827314376831055
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Step50+sbeam8,"{'kaz': 0.49, 'kor': 0.01, 'deu': 0.05, 'eng': 0.14, 'bel': 0.01, 'rus': 0.07, 'spa': 0.04, 'mkd': 0.01, 'mon': 0.03, 'por': 0.01, 'ukr': 0.02, 'fra': 0.03, 'bul': 0.01, 'ara': 0.01}",0.8781983256340027
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Labels,"{'fas': 0.05, 'ara': 0.89, 'eng': 0.01, 'fra': 0.02, 'urd': 0.02}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Base,"{'eng': 0.29, 'fra': 0.03, 'spa': 0.01, 'bel': 0.02, 'mon': 0.07, 'ara': 0.41, 'fas': 0.04, 'urd': 0.03, 'rus': 0.01, 'kaz': 0.03, 'deu': 0.01, 'fin': 0.01}",0.8892213106155396
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Step1,"{'ara': 0.46, 'urd': 0.02, 'fra': 0.03, 'eng': 0.27, 'kaz': 0.02, 'mon': 0.09, 'rus': 0.02, 'fas': 0.02, 'bel': 0.01, 'spa': 0.01, 'deu': 0.01}",0.8767746686935425
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Step50+sbeam8,"{'ara': 0.42, 'fas': 0.03, 'eng': 0.28, 'kaz': 0.02, 'urd': 0.01, 'rus': 0.02, 'fra': 0.03, 'mon': 0.11, 'bel': 0.01, 'spa': 0.01, 'deu': 0.01}",0.8101757764816284
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Labels,"{'amh': 0.83, 'eng': 0.05, 'fra': 0.02, 'deu': 0.02, 'spa': 0.01, 'pol': 0.01, 'som': 0.01}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Base,"{'eng': 0.07, 'tur': 0.01, 'mon': 0.46, 'kaz': 0.09, 'ell': 0.01, 'vie': 0.03, 'rus': 0.02, 'ukr': 0.01, 'yor': 0.05, 'hun': 0.01, 'deu': 0.02, 'ron': 0.01, 'bel': 0.01, 'fra': 0.08, 'cat': 0.01, 'spa': 0.02, 'epo': 0.01, 'isl': 0.01, 'por': 0.01, 'som': 0.01}",0.8442090749740601
