model,training,eval_lang,step,pred_langs,emb_cos_sim
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Labels,{'deu': 1.0},
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Base,"{'deu': 0.96, 'eng': 0.01}",0.9173067808151245
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Step1,"{'deu': 0.97, 'eng': 0.01}",0.9191709756851196
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",deu_Latn,Step50+sbeam8,"{'deu': 0.95, 'eng': 0.01}",0.9471467137336731
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Labels,{'heb': 1.0},
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Base,"{'kaz': 0.83, 'mon': 0.09, 'ukr': 0.01, 'kir': 0.01}",0.8937269449234009
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Step1,"{'mon': 0.29, 'kaz': 0.64, 'bel': 0.01, 'mkd': 0.01, 'nld': 0.01}",0.9075583219528198
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",ydd_Hebr,Step50+sbeam8,"{'kaz': 0.58, 'mon': 0.36, 'bel': 0.01}",0.8455482721328735
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Labels,{'heb': 1.0},
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Base,"{'kor': 0.02, 'mon': 0.11, 'eng': 0.09, 'kaz': 0.28, 'zho': 0.04, 'rus': 0.02, 'ben': 0.04, 'spa': 0.04, 'ara': 0.02, 'deu': 0.03, 'jpn': 0.02, 'yor': 0.01, 'fra': 0.01, 'heb': 0.02}",0.8910011053085327
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Step1,"{'kor': 0.03, 'kaz': 0.61, 'ben': 0.04, 'eng': 0.07, 'rus': 0.04, 'zho': 0.01, 'spa': 0.02, 'mon': 0.04, 'deu': 0.02, 'ara': 0.01, 'ukr': 0.01}",0.8827314376831055
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",heb_Hebr,Step50+sbeam8,"{'kaz': 0.63, 'eng': 0.06, 'mon': 0.04, 'kor': 0.01, 'por': 0.01, 'deu': 0.03, 'rus': 0.04, 'ara': 0.01, 'ben': 0.02, 'ukr': 0.01, 'spa': 0.01, 'zho': 0.01}",0.8781983256340027
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Labels,{'ara': 1.0},
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Base,"{'ara': 0.45, 'eng': 0.27, 'mon': 0.09, 'kaz': 0.04, 'fas': 0.01}",0.8892213106155396
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Step1,"{'ara': 0.46, 'eng': 0.26, 'fas': 0.01, 'mon': 0.13, 'fra': 0.01, 'kaz': 0.02}",0.8767746686935425
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",arb_Arab,Step50+sbeam8,"{'ara': 0.43, 'fas': 0.01, 'eng': 0.26, 'mon': 0.15, 'fra': 0.01, 'rus': 0.01, 'kaz': 0.03}",0.8101757764816284
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Labels,"{'amh': 0.97, 'eng': 0.01}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Base,"{'kaz': 0.1, 'mon': 0.61, 'yor': 0.05, 'fra': 0.04, 'vie': 0.02, 'eng': 0.01, 'bel': 0.01, 'cat': 0.01}",0.8442090749740601
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Step1,"{'mon': 0.56, 'yor': 0.01, 'kaz': 0.29, 'ukr': 0.01, 'bel': 0.01, 'fra': 0.04, 'vie': 0.01}",0.8468458652496338
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",amh_Ethi,Step50+sbeam8,"{'kaz': 0.35, 'mon': 0.52, 'vie': 0.01, 'fra': 0.03, 'eng': 0.01}",0.8040054440498352
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",mlt_Latn,Labels,"{'mlt': 0.42, 'ita': 0.06, 'eng': 0.02}",
me5_cyrl-script,"['kaz_Cyrl', 'mon_Cyrl']",mlt_Latn,Base,"{'kaz': 0.42, 'eng': 0.07, 'mon': 0.04, 'fra': 0.02, 'deu': 0.01, 'spa': 0.01, 'ukr': 0.01, 'rus': 0.02}",0.9074662923812866
