lang,mse,mae
eng_Latn,0.006719218823529409,0.06778823529411761
deu_Latn,0.008832439705882354,0.03926764705882352
cmn_Hani,0.01560730676470589,0.05993823529411766
tur_Latn,0.0020803641176470587,0.024158823529411767
kaz_Cyrl,0.0019283038235294126,0.014726470588235296
hun_Latn,4.235294117647058e-08,3.529411764705882e-05
fin_Latn,0.0005176329411764702,0.0070235294117647045
heb_Hebr,0.0011074267647058836,0.011985294117647063
arb_Arab,0.0019924876470588234,0.011664705882352943
mon_Cyrl,0.0076630005882352935,0.02208235294117647
hin_Deva,1.570882352941177e-05,0.0007000000000000001
other,0.027294759705882386,0.1313794117647059
avg,0.006146557671568631,0.0325625
