,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
96,0.4997421503067016,7,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
188,0.2288703322410583,16,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
3,0.7019797563552856,3,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
128,0.2927648425102234,9,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
185,0.3970820307731628,5,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
212,0.3267330825328827,11,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
124,0.2347506433725357,2,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
156,0.4763526916503906,19,1,0,1,1,1,0,0,1,0.0,0.0,0.0,1.0
36,0.7057911157608032,16,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
199,0.5963650345802307,10,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
187,0.4558616280555725,16,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
133,0.6970932483673096,11,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
90,0.5288528203964233,0,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
49,0.7085402011871338,10,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
172,0.424919992685318,13,0,1,1,0,1,0,0,1,0.0,0.0,0.0,1.0
30,0.694671630859375,18,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
138,0.524748682975769,14,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
219,0.360987901687622,8,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
132,0.686809778213501,11,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
16,0.758806586265564,0,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
93,0.3914683759212494,13,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
181,0.4403573870658874,18,0,0,0,1,1,0,0,1,1.0,0.0,0.0,0.0
9,0.7210171222686768,6,0,0,1,0,1,1,0,0,0.0,0.0,1.0,0.0
37,0.7239105701446533,16,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
108,0.6623803377151489,16,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
200,0.6019743084907532,10,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
52,0.8547984957695007,2,1,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0
56,0.7729384899139404,9,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
6,0.7532069683074951,19,0,0,1,0,1,1,0,0,0.0,0.0,0.0,1.0
195,0.2965720891952514,17,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
44,0.6074132919311523,17,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
92,0.4561266303062439,13,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
173,0.5443857908248901,13,0,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0
130,0.4054755866527557,9,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
14,0.7030978798866272,1,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
137,0.5204485654830933,14,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
157,0.4738279581069946,19,1,0,1,1,1,0,0,1,1.0,0.0,0.0,0.0
1,0.6912457942962646,3,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
171,0.4411334097385406,13,0,1,1,0,1,0,0,1,0.0,0.0,1.0,0.0
160,0.9017850756645204,6,1,1,1,1,1,0,0,1,0.0,0.0,0.0,1.0
89,0.7755662202835083,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
60,0.6830919981002808,11,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
164,0.5921531319618225,1,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0
38,0.7103536128997803,16,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
54,0.8723305463790894,2,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0
161,0.8601236343383789,6,1,1,1,1,1,0,0,1,1.0,0.0,0.0,0.0
34,0.7248321175575256,5,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
32,0.7370869517326355,5,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
168,0.2635209858417511,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,1.0
112,0.4857969582080841,15,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
