lang,mse,mae
deu_Latn,0.00892453482758621,0.025384482758620694
jpn_Jpan,0.00399858913793103,0.016427586206896546
cmn_Hani,0.010657269827586205,0.03410689655172412
eng_Latn,0.011074287327586202,0.06618706896551724
urd_Arab,0.02104522551724138,0.04025689655172414
tur_Latn,0.01841016931034483,0.05029827586206902
arb_Arab,0.005139412586206898,0.022072413793103443
guj_Gujr,0.03103576318965518,0.06713534482758622
heb_Hebr,0.005476061034482753,0.016903448275862078
kaz_Cyrl,0.020086641637931044,0.05707672413793104
mon_Cyrl,0.009308308793103442,0.021134482758620687
hun_Latn,0.0006165256034482753,0.0031525862068965513
fin_Latn,0.0041978481896551715,0.007938793103448276
hin_Deva,0.0184180325862069,0.05041551724137931
kor_Hang,0.0004965517241379311,0.0020689655172413794
pan_Guru,0.018524290344827568,0.03893448275862068
other,0.004635381120689656,0.04717327586206897
avg,0.011296758397565922,0.033333367139959436
