lang,mse,mae
eng_Latn,0.005201287806122446,0.046827551020408156
deu_Latn,0.0034717985969387704,0.01443035714285714
cmn_Hani,0.00456852071428571,0.0176469387755102
tur_Latn,0.008236055637755103,0.03785076530612246
kaz_Cyrl,0.006920838367346938,0.027206632653061245
hun_Latn,0.0008539475255102048,0.003102295918367348
fin_Latn,0.0012216448979591836,0.0028352040816326525
heb_Hebr,0.0016409620918367328,0.008837244897959175
arb_Arab,0.005247414566326533,0.019507397959183683
mon_Cyrl,0.0030507739285714304,0.01226734693877552
hin_Deva,0.00883398298469388,0.030801275510204087
jpn_Jpan,0.0036961342091836745,0.01279668367346938
urd_Arab,0.012468539464285716,0.04356658163265307
pan_Guru,0.012354263775510204,0.034273979591836735
guj_Gujr,0.009934708367346936,0.0366637755102041
kor_Hang,9.00612244897957e-06,0.00024591836734693854
other,0.007783813571428576,0.04700663265306122
avg,0.0056172760369147656,0.023286269507803128
