,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
182,13,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
75,15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
92,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
302,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
68,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
15,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
567,14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
586,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
88,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
512,16,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0
117,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
393,9,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0
417,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
33,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
604,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
467,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
354,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
340,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
249,15,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
257,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
22,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
