,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
77,0.8853026628494263,8,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
429,0.9254023432731628,16,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
290,0.8935856819152832,15,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
352,0.9859778881072998,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0
176,0.8931095600128174,14,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
377,0.8491249680519104,8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0
390,0.8998717665672302,15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
468,0.919195830821991,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
75,0.922899842262268,11,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0
348,0.926669716835022,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0
118,0.8908838629722595,12,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
92,0.8968825936317444,10,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
280,0.895574152469635,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
68,0.8780272006988525,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
15,0.912419319152832,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
332,0.8724527359008789,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
148,0.892587423324585,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
88,0.9824129343032836,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
490,0.9941664934158324,15,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0
117,0.9227583408355712,8,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
362,0.8481546640396118,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0
383,0.9416115283966064,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
33,0.8356317281723022,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
0,0.9107338190078736,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
573,0.9483498334884644,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
286,0.944133996963501,7,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
328,0.8961573243141174,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
539,0.9045181274414062,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
220,0.8781441450119019,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
227,0.9052546620368958,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
22,0.8530698418617249,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
473,0.882732629776001,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
