model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",deu_Latn,Base,"{'deu_Latn': 0.86, 'jpn_Jpan': 0.09}",0.9107338190078736,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",ydd_Hebr,Base,"{'cmn_Hani': 0.66, 'jpn_Jpan': 0.24, 'eng_Latn': 0.07}",0.8716102838516235,19,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",heb_Hebr,Base,"{'jpn_Jpan': 0.22, 'cmn_Hani': 0.67, 'eng_Latn': 0.08}",0.887262225151062,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Base,"{'jpn_Jpan': 0.28, 'cmn_Hani': 0.56, 'eng_Latn': 0.13}",0.8598607182502747,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Base,"{'cmn_Hani': 0.1, 'jpn_Jpan': 0.64, 'eng_Latn': 0.1}",0.8576359748840332,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Base,"{'jpn_Jpan': 0.11, 'eng_Latn': 0.33, 'cmn_Hani': 0.2}",0.8905705213546753,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Base,"{'cmn_Hani': 0.12, 'eng_Latn': 0.24, 'jpn_Jpan': 0.56}",0.8870844841003418,7,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",urd_Arab,Base,"{'jpn_Jpan': 0.63, 'cmn_Hani': 0.32}",0.875221848487854,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",guj_Gujr,Base,"{'jpn_Jpan': 0.61, 'cmn_Hani': 0.34}",0.8705364465713501,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",sin_Sinh,Base,"{'jpn_Jpan': 0.82, 'cmn_Hani': 0.14}",0.8708637356758118,16,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
