,eng_Latn,fin_Latn,deu_Latn,cmn_Hani,hun_Latn,tur_Latn,mon_Cyrl,kaz_Cyrl,heb_Hebr,arb_Arab,kor_Hang,hin_Deva,other
157,0.0,0.19,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999994
87,0.21,0.0,0.41,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
90,0.16,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
42,0.71,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007
17,0.61,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000008
55,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.010000000000000009
134,0.12,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
215,0.24,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.12,0.020000000000000018
177,0.39,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.09999999999999998
121,0.45,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
51,0.3,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999992
226,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.46,0.0,0.0,0.0,0.0,0.20999999999999996
154,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.3,0.0,0.0,0.0,0.0,0.37
229,0.68,0.0,0.06,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.1100000000000001
209,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.36,0.0,0.0,0.0,0.0,0.25
3,0.51,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
235,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.2,0.0,0.0,0.0,0.0,0.1299999999999999
62,0.44,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
114,0.51,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996
