,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
157,0.4653812646865845,4,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
87,0.5150558948516846,19,0,1,1,0,1,0,1,0,1.0,0.0,0.0,0.0
90,0.954586386680603,6,0,0,1,0,1,0,1,0,0.0,0.0,0.0,1.0
42,0.7553125023841858,15,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
17,0.758806586265564,0,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
55,0.8723305463790894,2,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0
166,0.4763526916503906,19,1,0,1,1,1,0,0,1,0.0,0.0,0.0,1.0
134,0.3654881119728088,2,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
215,0.2882682681083679,2,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
177,0.2874423861503601,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0
121,0.4857969582080841,15,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
51,0.736625611782074,10,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
226,0.4594576060771942,14,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
154,0.3073510527610779,12,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
229,0.360987901687622,8,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
209,0.5963650345802307,10,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
3,0.7019797563552856,3,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
235,0.7084029912948608,12,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
62,0.7694910764694214,11,0,1,0,1,1,1,0,0,0.0,0.0,0.0,1.0
114,0.6720007658004761,5,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
203,0.3191417455673218,15,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
110,0.9959036111831664,18,0,0,1,0,1,0,1,0,0.0,0.0,0.0,1.0
197,0.4558616280555725,16,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
35,0.7248321175575256,5,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
207,0.4382678866386413,17,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
131,0.6095255613327026,10,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
149,0.4553329348564148,8,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
102,0.3914683759212494,13,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
49,0.6772552132606506,10,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
219,0.484971135854721,9,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
30,0.7387039065361023,18,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
139,0.4054755866527557,9,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
101,0.4561266303062439,13,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
195,0.3970820307731628,5,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
15,0.7030978798866272,1,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
9,0.7210171222686768,6,0,0,1,0,1,1,0,0,0.0,0.0,1.0,0.0
37,0.7057911157608032,16,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
150,0.4926136434078216,8,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
6,0.7532069683074951,19,0,0,1,0,1,1,0,0,0.0,0.0,0.0,1.0
43,0.7091068029403687,15,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
135,0.2785981893539428,2,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
171,0.8601236343383789,6,1,1,1,1,1,0,0,1,1.0,0.0,0.0,0.0
127,0.4832264184951782,17,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
14,0.7400095462799072,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
153,0.5361301898956299,12,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
178,0.2635209858417511,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,1.0
1,0.6912457942962646,3,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
182,0.424919992685318,13,0,1,1,0,1,0,0,1,0.0,0.0,0.0,1.0
94,0.9947637915611268,1,0,0,1,0,1,0,1,0,0.0,0.0,0.0,1.0
86,0.5459351539611816,19,0,1,1,0,1,0,1,0,0.0,0.0,0.0,1.0
59,0.7752203941345215,9,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
165,0.4731744229793548,19,1,0,1,1,1,0,0,1,0.0,0.0,1.0,0.0
38,0.7239105701446533,16,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
54,0.8576104640960693,2,1,1,1,1,1,1,0,0,0.0,0.0,0.0,1.0
185,0.3471131920814514,7,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
186,0.4050508737564087,7,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
34,0.7528703212738037,5,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
31,0.694671630859375,18,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
193,0.317528486251831,5,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
109,0.5261415243148804,18,0,0,1,0,1,0,1,0,0.0,0.0,1.0,0.0
106,0.5302109122276306,7,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
113,0.5701545476913452,5,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
53,0.8547984957695007,2,1,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0
145,0.4350439012050628,14,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
115,0.5713065266609192,5,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
170,0.9017850756645204,6,1,1,1,1,1,0,0,1,0.0,0.0,0.0,1.0
234,0.5291924476623535,12,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
222,0.3267330825328827,11,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
63,0.7164779901504517,11,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
126,0.6778723001480103,17,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
183,0.5443857908248901,13,0,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0
