lang,mse,mae
deu_Latn,0.00487459202804602,0.018350526519550915
jpn_Jpan,0.009581667398373987,0.026324390243902467
cmn_Hani,0.016431793658536586,0.03338048780487805
eng_Latn,0.007634589993291305,0.060102520325203274
urd_Arab,0.022113007642276427,0.04821788617886179
tur_Latn,0.023585477171971028,0.06876989353464961
arb_Arab,0.010312074146093041,0.032834457994579944
guj_Gujr,0.0007212980487804879,0.005492682926829268
heb_Hebr,0.003909444227642279,0.020408130081300817
kaz_Cyrl,0.019306359489899623,0.026249831591173056
mon_Cyrl,0.0224774937398374,0.056506504065040666
hun_Latn,0.0066868638621204604,0.016681649245063886
fin_Latn,0.03128426894308943,0.0676227642276423
hin_Deva,0.006765356016260159,0.020717886178861784
kor_Hang,0.018822057804878046,0.04970162601626015
pan_Guru,0.01957801170731707,0.044691056910569106
other,0.006444666801589143,0.051650050329074715
avg,0.0135605307458825,0.0381001378925554
