lang,mse,mae
deu_Latn,0.004876767230853755,0.01840046457607433
jpn_Jpan,0.0028979604878048774,0.014918699186991876
cmn_Hani,0.014241556666666667,0.030927642276422765
eng_Latn,0.00801788208798555,0.059994254742547444
urd_Arab,0.0248858830894309,0.0491918699186992
tur_Latn,0.030143107189005477,0.07564631629887725
arb_Arab,0.009733556128477866,0.03100356368563685
guj_Gujr,0.0008396151219512196,0.005975609756097562
heb_Hebr,0.005724061382113814,0.022745528455284554
kaz_Cyrl,0.01777354093124689,0.024940075493612084
mon_Cyrl,0.025032051219512214,0.06304552845528456
hun_Latn,0.006298884197050773,0.016223315911730547
fin_Latn,0.027859321626016263,0.06012520325203252
hin_Deva,0.005418564227642273,0.01728617886178861
kor_Hang,0.01864531032520325,0.04760243902439024
pan_Guru,0.018012946178861778,0.044017886178861786
other,0.00669376887805062,0.05249593108788229
avg,0.013358516292227892,0.03732591218601262
