variables,mse
"baseline+script,script_lr",0.0052081565811965
"baseline+family,script,script_lr,training_script_lr",0.0052269935897435
"baseline+family,script,script_lr",0.005273977542735
"baseline+family,script",0.0052827185470085
"baseline+family,script,training_script_lr",0.0052983833333333
"baseline+script,script_lr,training_script_lr",0.0053018918162393
baseline+script,0.0053136132264957
"baseline+script,training_script_lr",0.0053286263888888
baseline+,0.0057988009188034
baseline+training_script_lr,0.0058720643162393
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.0059028527777777
"baseline+emb_cos_sim,family,script,script_lr",0.0059656526495726
"baseline+family,training_script_lr",0.006023521068376
baseline+family,0.0060657273290598
"baseline+emb_cos_sim,family,script",0.0061066998290598
"baseline+emb_cos_sim,family,script,training_script_lr",0.0061221598504273
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0061818992094017
"baseline+emb_cos_sim,script,script_lr",0.006183045042735
baseline+script_lr,0.0061856635470085
"baseline+script_lr,training_script_lr",0.0061930788888888
"baseline+family,script_lr",0.0062530481196581
"baseline+family,script_lr,training_script_lr",0.0063517557264957
"baseline+emb_cos_sim,family,script_lr",0.0064978117307692
"baseline+emb_cos_sim,script,training_script_lr",0.0065068124572649
"baseline+emb_cos_sim,script",0.0065130320726495
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0066836151709401
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0069050706410256
"baseline+emb_cos_sim,family,training_script_lr",0.006964521068376
"baseline+emb_cos_sim,script_lr",0.0069800487606837
"baseline+emb_cos_sim,family",0.0069806471367521
baseline+emb_cos_sim,0.0073628435470085
"baseline+emb_cos_sim,training_script_lr",0.0073694955555555
