variables,mse
"baseline+script,script_lr,training_script_lr",0.0034164798607113
"baseline+script,script_lr",0.0034863121307852
"baseline+script,training_script_lr",0.0034887425339959
"baseline+family,script,script_lr,training_script_lr",0.0035387705440921
baseline+script,0.0036177356326959
"baseline+family,script,script_lr",0.0036308548209701
"baseline+family,script_lr,training_script_lr",0.0037230827966212
"baseline+family,script,training_script_lr",0.0037508787252419
"baseline+family,script_lr",0.0037914918111348
"baseline+family,script",0.0038159713376523
"baseline+family,training_script_lr",0.0039807939390132
"baseline+script_lr,training_script_lr",0.0040376096054447
baseline+family,0.00406269869177
baseline+script_lr,0.0040730972019809
baseline+training_script_lr,0.0041549500925369
baseline+,0.0042138083766379
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0047438112602694
"baseline+emb_cos_sim,script",0.004744638062767
"baseline+emb_cos_sim,script,training_script_lr",0.0047716491225764
"baseline+emb_cos_sim,script,script_lr",0.0047904498471902
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.0049242332615839
"baseline+emb_cos_sim,family,script,script_lr",0.005053402806441
"baseline+emb_cos_sim,family,script",0.0050708019273743
"baseline+emb_cos_sim,family,script,training_script_lr",0.0050982462339796
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0051199574038777
"baseline+emb_cos_sim,script_lr",0.005199953562274
baseline+emb_cos_sim,0.005227844615511
"baseline+emb_cos_sim,training_script_lr",0.0052398819602366
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0052675264262241
"baseline+emb_cos_sim,family,script_lr",0.0053070164081498
"baseline+emb_cos_sim,family",0.0053784208330594
"baseline+emb_cos_sim,family,training_script_lr",0.0053881124153795
