variables,mse
"baseline+family,script,script_lr,word_order",0.003446161372549
"baseline+family,script,script_lr,training_script_lr,word_order",0.0034587312009803
"baseline+family,script,training_script_lr,word_order",0.0038126147303921
"baseline+family,script,word_order",0.0038212573529411
"baseline+script,script_lr,word_order",0.0038419986029411
"baseline+script,script_lr,training_script_lr,word_order",0.003843261372549
"baseline+family,script,script_lr,training_script_lr",0.004003976372549
"baseline+family,script,script_lr",0.0041267745588235
"baseline+script,word_order",0.004169556617647
"baseline+script,training_script_lr,word_order",0.0041761017156862
"baseline+family,script",0.004220696495098
"baseline+family,script,training_script_lr",0.0042992181372549
"baseline+script,script_lr,training_script_lr",0.0046369325735294
"baseline+script,script_lr",0.00465777875
"baseline+script,training_script_lr",0.0049558517892156
baseline+script,0.0049595004411764
"baseline+script_lr,word_order",0.0052495050245098
"baseline+family,script_lr,word_order",0.0052614537009803
"baseline+script_lr,training_script_lr,word_order",0.0052660125490196
"baseline+family,script_lr,training_script_lr,word_order",0.0052719982352941
"baseline+emb_cos_sim,script,script_lr,word_order",0.0053833069607843
"baseline+emb_cos_sim,script,script_lr,training_script_lr,word_order",0.0053867449754901
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr,word_order",0.005423040245098
"baseline+emb_cos_sim,family,script,script_lr,word_order",0.005423049362745
"baseline+family,word_order",0.0055092632352941
"baseline+family,training_script_lr,word_order",0.0055148038970588
"baseline+emb_cos_sim,family,script,training_script_lr,word_order",0.0055235483088235
"baseline+emb_cos_sim,script,word_order",0.0055768182843137
baseline+word_order,0.0056000206372549
"baseline+training_script_lr,word_order",0.0056148744117647
"baseline+emb_cos_sim,family,script,word_order",0.0056496462009803
"baseline+emb_cos_sim,script,training_script_lr,word_order",0.0056658997794117
"baseline+family,script_lr,training_script_lr",0.0058786703186274
"baseline+family,script_lr",0.0058797096078431
baseline+family,0.0059203596813725
baseline+script_lr,0.0060177633578431
"baseline+family,training_script_lr",0.0060326399264705
"baseline+script_lr,training_script_lr",0.0061465576715686
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.0061997736519607
"baseline+emb_cos_sim,script,script_lr",0.0062191843137254
"baseline+emb_cos_sim,family,script,script_lr",0.006242545612745
"baseline+emb_cos_sim,family,script",0.006274970245098
"baseline+emb_cos_sim,family,script,training_script_lr",0.0062934950245098
baseline+training_script_lr,0.0063128137745098
baseline+,0.0063595675245098
"baseline+emb_cos_sim,script",0.0063756465196078
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0064767249754901
"baseline+emb_cos_sim,script,training_script_lr",0.0064828211274509
"baseline+emb_cos_sim,family,script_lr,word_order",0.0089095175735294
"baseline+emb_cos_sim,family,script_lr,training_script_lr,word_order",0.0089765757843137
"baseline+emb_cos_sim,family,word_order",0.0092257937254901
"baseline+emb_cos_sim,family,training_script_lr,word_order",0.009331107867647
"baseline+emb_cos_sim,script_lr,word_order",0.0096205699264705
"baseline+emb_cos_sim,family,script_lr",0.0096522562499999
"baseline+emb_cos_sim,script_lr,training_script_lr,word_order",0.0096864604166666
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0097341361029411
"baseline+emb_cos_sim,family",0.0098311453921568
"baseline+emb_cos_sim,word_order",0.0098767384558823
"baseline+emb_cos_sim,training_script_lr,word_order",0.0098991621078431
"baseline+emb_cos_sim,family,training_script_lr",0.0100253579166666
"baseline+emb_cos_sim,script_lr",0.0105106562745098
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0105524467892156
baseline+emb_cos_sim,0.0107122577696078
"baseline+emb_cos_sim,training_script_lr",0.0107275290441176
