lang,mse,mae
deu_Latn,0.004944489871233158,0.018257293844367018
jpn_Jpan,0.009532690894308946,0.026614634146341493
cmn_Hani,0.01831121414634147,0.0354878048780488
eng_Latn,0.007821029920773187,0.05996424699961284
urd_Arab,0.019550084878048785,0.048235772357723576
tur_Latn,0.02532455125199748,0.06963852497096398
arb_Arab,0.011250098305984639,0.03439055555555555
guj_Gujr,0.0008547548780487805,0.006539024390243902
heb_Hebr,0.0040464706504065055,0.020969918699186997
kaz_Cyrl,0.018836294847623197,0.025916742160278745
mon_Cyrl,0.021356650650406497,0.05449837398373985
hun_Latn,0.006513563394516346,0.016316550522648084
fin_Latn,0.031273000731707315,0.06749349593495935
hin_Deva,0.006896494796747965,0.02044878048780487
kor_Hang,0.017969845365853658,0.04887154471544714
pan_Guru,0.016623752601626005,0.04252601626016261
other,0.0067344955012116755,0.05261935927216414
avg,0.01340232251099033,0.03816403759877934
