variables,mse
"baseline+family,script,script_lr,training_script_lr",0.0027863334307168
"baseline+family,script,script_lr",0.0028339245408804
"baseline+script,script_lr,training_script_lr",0.0028629294846655
"baseline+script,training_script_lr",0.0028714093544415
"baseline+script,script_lr",0.0029205591040166
baseline+script,0.002933003904618
"baseline+family,script,training_script_lr",0.0029362328085072
"baseline+family,script_lr,training_script_lr",0.0029470148993005
"baseline+family,script",0.0029725593345821
"baseline+family,script_lr",0.0029887064579244
"baseline+family,training_script_lr",0.0031065288377488
baseline+family,0.0031492336415427
"baseline+script_lr,training_script_lr",0.0033508919763195
baseline+script_lr,0.0034270179284802
baseline+training_script_lr,0.003432445042339
baseline+,0.0034672993027709
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0037739395415708
"baseline+emb_cos_sim,script",0.0037813339664804
"baseline+emb_cos_sim,script,script_lr",0.0038217758642786
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.0038290894577719
"baseline+emb_cos_sim,script,training_script_lr",0.003835523989484
"baseline+emb_cos_sim,family,script,script_lr",0.0038413664903056
"baseline+emb_cos_sim,family,script",0.0038521415971081
"baseline+emb_cos_sim,family,script,training_script_lr",0.0039241833946763
"baseline+emb_cos_sim,family,script_lr",0.0040998483256654
"baseline+emb_cos_sim,family",0.0041247994857048
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0041249177440026
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0041819121623397
"baseline+emb_cos_sim,family,training_script_lr",0.0041902082122905
baseline+emb_cos_sim,0.004225673604995
"baseline+emb_cos_sim,training_script_lr",0.0042385807673348
"baseline+emb_cos_sim,script_lr",0.0042533095202103
