variables,mse
"baseline+emb_cos_sim,family,script,script_lr",0.0051738296158463
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.005256715337635
"baseline+emb_cos_sim,family,script",0.0053384906557623
"baseline+emb_cos_sim,family,script,training_script_lr",0.0053482340036014
"baseline+emb_cos_sim,script,script_lr",0.0053691137424969
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0054052409243697
"baseline+emb_cos_sim,family,script_lr",0.005449983077731
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.0055140575765306
"baseline+emb_cos_sim,script,training_script_lr",0.0055622293082232
"baseline+emb_cos_sim,script",0.0055760280657262
"baseline+emb_cos_sim,family,training_script_lr",0.0056535674714885
"baseline+emb_cos_sim,family",0.0057126116206482
"baseline+emb_cos_sim,script_lr",0.0058327356677671
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0058557623469387
"baseline+emb_cos_sim,training_script_lr",0.0061279517887154
baseline+emb_cos_sim,0.0061359818742497
"baseline+family,script,script_lr",0.0073114610695883
"baseline+family,script,script_lr,training_script_lr",0.0073531106845123
"baseline+family,script,training_script_lr",0.0075341633248157
"baseline+script,script_lr",0.0075854988458748
"baseline+family,script",0.0075909920232038
"baseline+script,script_lr,training_script_lr",0.007598381449686
"baseline+family,script_lr",0.0077407775559089
"baseline+family,script_lr,training_script_lr",0.0077656746200778
baseline+script,0.0077794939304632
"baseline+script,training_script_lr",0.0077886634147286
"baseline+family,training_script_lr",0.0082346822605883
baseline+script_lr,0.0082427252176782
baseline+family,0.0082494679099602
"baseline+script_lr,training_script_lr",0.0083256888165884
baseline+training_script_lr,0.0088195284124541
baseline+,0.0088493438495705
