model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Base,"{'jpn_Jpan': 0.09, 'eng_Latn': 0.37, 'cmn_Hani': 0.46}",0.8598607182502747,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Step1,"{'cmn_Hani': 0.52, 'eng_Latn': 0.24}",0.8526914119720459,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Step50+sbeam8,"{'cmn_Hani': 0.48, 'eng_Latn': 0.28}",0.8520728349685669,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Base,"{'cmn_Hani': 0.21, 'eng_Latn': 0.24, 'jpn_Jpan': 0.36}",0.8576359748840332,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Step1,"{'eng_Latn': 0.45, 'cmn_Hani': 0.27, 'deu_Latn': 0.06}",0.8964741230010986,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.48, 'cmn_Hani': 0.21, 'deu_Latn': 0.06}",0.9194412231445312,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Base,"{'cmn_Hani': 0.23, 'jpn_Jpan': 0.06, 'eng_Latn': 0.48}",0.8905705213546753,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Step1,"{'cmn_Hani': 0.47, 'eng_Latn': 0.4}",0.8752604126930237,7,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Step50+sbeam8,"{'cmn_Hani': 0.42, 'eng_Latn': 0.47}",0.8904078006744385,7,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Base,"{'cmn_Hani': 0.28, 'eng_Latn': 0.39, 'jpn_Jpan': 0.22}",0.8870844841003418,7,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
