,deu_Latn,eng_Latn,cmn_Hani,jpn_Jpan,tur_Latn,hun_Latn,fin_Latn,urd_Arab,arb_Arab,kaz_Cyrl,pan_Guru,guj_Gujr,hin_Deva,heb_Hebr,mon_Cyrl,kor_Hang,other
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.020000000000000018
1657,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.06000000000000005
1866,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.58,0.0,0.0,0.0,0.0,0.13
77,0.09,0.2,0.23,0.09,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
1891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999995
492,0.0,0.16,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2297,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.12
1025,0.06,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.30000000000000004
1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999
1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.09999999999999998
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.07999999999999996
1423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1234,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.67,0.0,0.0,0.0,0.06999999999999995
156,0.0,0.0,0.0,0.0,0.5,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999992
1601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.49,0.0,0.0,0.0,0.06000000000000005
1411,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999993
702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.040000000000000036
690,0.0,0.3,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
804,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998
514,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
