lang,mse,mae
deu_Latn,0.0026603662011173185,0.014893296089385478
eng_Latn,0.004579701173184357,0.04596145251396647
cmn_Hani,0.0025057132122905026,0.014824301675977654
jpn_Jpan,0.0016480858379888273,0.008418156424581005
tur_Latn,0.005775875670391063,0.031821508379888244
hun_Latn,0.00039631550279329604,0.0036706703910614528
fin_Latn,0.0007798521787709484,0.004150837988826814
urd_Arab,0.007291291927374303,0.02897737430167598
arb_Arab,0.0027443346368715084,0.014530167597765372
kaz_Cyrl,0.00649574801675978,0.030557262569832405
pan_Guru,0.006260763770949722,0.024525977653631285
guj_Gujr,0.0064219942178770925,0.02929469273743016
hin_Deva,0.008284366983240225,0.03147932960893855
heb_Hebr,0.003397239050279327,0.011014525139664806
mon_Cyrl,0.004088673519553069,0.016458100558659223
kor_Hang,3.0468379888268145e-05,0.0007670391061452513
other,0.0018431175418994416,0.02881229050279329
avg,0.0038355239894840624,0.020009234308248438
