lang,mse,mae
deu_Latn,0.0026898607262569826,0.015048603351955311
eng_Latn,0.005078585782122905,0.04802541899441341
cmn_Hani,0.002282625949720671,0.014165642458100557
jpn_Jpan,0.0016694961452513965,0.008044692737430168
tur_Latn,0.006038298938547486,0.03342569832402233
hun_Latn,0.0007823097206703914,0.005935195530726258
fin_Latn,0.000761725502793295,0.004130446927374299
urd_Arab,0.0070321682122905065,0.029015083798882686
arb_Arab,0.00262109248603352,0.014286312849162016
kaz_Cyrl,0.0064405644972067065,0.030461173184357555
pan_Guru,0.0063815135754189956,0.025108379888268154
guj_Gujr,0.007922849608938543,0.033758100558659195
hin_Deva,0.010017208156424586,0.0345782122905028
heb_Hebr,0.0034027215363128453,0.011044413407821226
mon_Cyrl,0.006185451564245803,0.019178212290502792
kor_Hang,3.265111731843574e-05,0.00045586592178770944
other,0.001894416089385475,0.029716201117318427
avg,0.004190208212290503,0.020963391390075584
